bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
3,0,0,78,-78,1,100,0,156,61.48,0,0,0,0,0,0,0,0,0,0,137.955
4,243.545,-34.935,279.47,-349.34,1,100,1,401,86.09,0,0,0,0,0,0,0,0,0,0,281.739
9,0,0,33.33,-33.33,1,100,0,43,35.125,0,0,0,0,0,0,0,0,0,0,85.248
10,161.875,0,138,-138,1,100,1,275,48.75,0,0,0,0,0,0,0,0,0,0,221.788
15,-82,21.5,105,-62,1,216.55,1,36,-200,0,0,0,0,0,0,0,0,0,0,179
15,-84,21.5,105,-62,1,179,1,32,-200,0,0,0,0,0,0,0,0,0,0,179
15,-74.5,27.5,130,-75,1,179,1,51,-200,0,0,0,0,0,0,0,0,0,0,179
16,-93,30,160,-100,1,179,1,14,-200,0,0,0,0,0,0,0,0,0,0,179
19,238.5,0,232,-232,1,58.99,1,464,13,0,0,0,0,0,0,0,0,0,0,55
20,0,0,64,-64,1,55,0,128,13,0,0,0,0,0,0,0,0,0,0,55
22,13,2,184,-180,1,0.36,1,26,0,0,0,0,0,0,0,0,0,0,0,285
29,36,0.5,178,-177,1,18,1,72,0,0,0,0,0,0,0,0,0,0,0,18
30,33,-0.5,179,-180,1,22,1,66,0,0,0,0,0,0,0,0,0,0,0,22
37,25,9,186,-168,1,0.24,1,50,0,0,0,0,0,0,0,0,0,0,0,296
44,54.25,4.5,178,-169,1,2,1,108,0.5,0,0,0,0,0,0,0,0,0,0,269
45,48.5,11,188,-166,1,15,1,97,0,0,0,0,0,0,0,0,0,0,0,15
49,34.5,5.5,191,-180,1,1,1,69,0,0,0,0,0,0,0,0,0,0,0,285
54,12,10,189,-169,1,0.12,1,24,0,0,0,0,0,0,0,0,0,0,0,258
54,0,0,64,-64,1,100,0,128,9.72,0,0,0,0,0,0,0,0,0,0,34.44
58,31.5,9,198,-180,1,9,1,63,0,0,0,0,0,0,0,0,0,0,0,297
60,40,-2.5,179,-184,1,0.24,1,80,0,0,0,0,0,0,0,0,0,0,0,278
68,0,0,33.33,-33.33,1,100,0,51,122.96,0,0,0,0,0,0,0,0,0,0,137.955
69,194.545,-35.27,282.12,-352.66,1,100,1,303,86.09,0,0,0,0,0,0,0,0,0,0,281.739
74,0,0,33.33,-33.33,1,100,0,20,70.25,0,0,0,0,0,0,0,0,0,0,85.248
75,228.52,0,209,-209,1,100,1,418,39.04,0,0,0,0,0,0,0,0,0,0,221.788
