bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
1,33.205,0,157.99,-157.99,1,100,1,64.82,1.59,0,0,0,0,0,0,0,0,0,0,64.818
2,112.96,-4.39,35.12,-43.9,1,100,1,170.7,55.22,0,0,0,0,0,0,0,0,0,0,170.701
3,27.655,-14.855,118.84,-148.55,1,100,1,46.11,9.2,0,0,0,0,0,0,0,0,0,0,46.109
5,192.11,0,93.15,-93.15,1,100,1,228.68,155.54,0,0,0,0,0,0,0,0,0,0,228.682
10,64.315,-8.13,65.04,-81.3,1,100,1,83.06,45.57,0,0,0,0,0,0,0,0,0,0,83.063
12,114.585,45.625,106.25,-15,1,166.81,1,137.5,91.67,0,0,0,0,0,0,0,0,0,0,137.5
12,0,0,40,-40,1,120,0,120,100,0,0,0,0,0,0,0,0,0,0,120
13,114.585,35,85,-15,1,166.81,1,137.5,91.67,0,0,0,0,0,0,0,0,0,0,137.5
15,0,0,16.67,-16.67,1,50,0,50,40,0,0,0,0,0,0,0,0,0,0,50
18,187.5,40,112,-32,1,225,1,225,150,0,0,0,0,0,0,0,0,0,0,225
19,200,54,140,-32,1,275.06,1,250,150,0,0,0,0,0,0,0,0,0,0,250
19,0,0,66.67,-66.67,1,200,0,200,150,0,0,0,0,0,0,0,0,0,0,200
19,166.665,49.61,131.22,-32,1,234.36,1,200,133.33,0,0,0,0,0,0,0,0,0,0,200
20,325,54.25,367.5,-259,1,566.05,1,464,186,0,0,0,0,0,0,0,0,0,0,464
24,317.85,-3.95,31.61,-39.51,1,100,1,442.98,192.72,0,0,0,0,0,0,0,0,0,0,442.978
25,0,0,33.33,-33.33,1,100,0,85.2,70.2,0,0,0,0,0,0,0,0,0,0,85.204
32,0,0,33.33,-33.33,1,100,0,177.48,162.48,0,0,0,0,0,0,0,0,0,0,177.483
44,35,17.5,57,-22,1,61.03,1,55,15,0,0,0,0,0,0,0,0,0,0,55
45,41.875,17.5,57,-22,1,68.9,1,68.75,15,0,0,0,0,0,0,0,0,0,0,68.75
45,40,21.5,71,-28,1,77,1,77,3,0,0,0,0,0,0,0,0,0,0,77
59,25.52,0,13.64,-13.64,1,100,1,36.54,14.5,0,0,0,0,0,0,0,0,0,0,36.54
64,0,0,33.33,-33.33,1,100,0,38.85,23.85,0,0,0,0,0,0,0,0,0,0,38.851
80,0,0,16.67,-16.67,1,50,0,50,35,0,0,0,0,0,0,0,0,0,0,50
80,25.835,-83.5,10,-177,1,28,1,35,16.67,0,0,0,0,0,0,0,0,0,0,35
82,0,0,33.33,-33.33,1,100,0,30.55,15.55,0,0,0,0,0,0,0,0,0,0,30.546
84,0,0,66.67,-66.67,1,200,0,200,150,0,0,0,0,0,0,0,0,0,0,200
85,175,46.5,111,-18,1,253.76,1,200,150,0,0,0,0,0,0,0,0,0,0,200
98,0,0,16.67,-16.67,1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,50
98,27.5,-66.65,41.7,-175,1,55,1,55,0,0,0,0,0,0,0,0,0,0,0,55
98,0,0,18.33,-18.33,1,55,0,55,0,0,0,0,0,0,0,0,0,0,0,55
99,0,0,11.67,-11.67,1,35,0,35,0,0,0,0,0,0,0,0,0,0,0,35
99,0,0,10.67,-10.67,1,32,0,32,0,0,0,0,0,0,0,0,0,0,0,32
110,0,0,2.33,-2.33,1,7,0,292,5,0,0,0,0,0,0,0,0,0,0,292
113,57.65,0,11.04,-11.04,1,100,1,71.88,43.42,0,0,0,0,0,0,0,0,0,0,71.879
115,136,10.5,187,-166,1,4.02,1,271,1,0,0,0,0,0,0,0,0,0,0,271
120,0,0,1.33,-1.33,1,4,0,279,0,0,0,0,0,0,0,0,0,0,0,279
120,0,0,1.33,-1.33,1,4,0,251,0,0,0,0,0,0,0,0,0,0,0,251
120,0,0,1.33,-1.33,1,4,0,266,0,0,0,0,0,0,0,0,0,0,0,266
120,10,-85,15,-185,1,22.88,1,20,0,0,0,0,0,0,0,0,0,0,0,20
120,10,-81.125,18.75,-181,1,20,1,20,0,0,0,0,0,0,0,0,0,0,0,20
124,12.5,1.5,179,-176,1,13.31,1,20,5,0,0,0,0,0,0,0,0,0,0,20
124,0,0,4,-4,1,12,0,20,5,0,0,0,0,0,0,0,0,0,0,20
