bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
3,0,0,33.33,-33.33,1,100,0,137.95,122.96,0,0,0,0,0,0,0,0,0,0,137.955
4,226.96,-34.935,279.47,-349.34,1,100,1,281.74,172.18,0,0,0,0,0,0,0,0,0,0,281.739
9,0,0,33.33,-33.33,1,100,0,85.25,70.25,0,0,0,0,0,0,0,0,0,0,85.248
10,159.645,-2.565,20.51,-25.64,1,100,1,221.79,97.5,0,0,0,0,0,0,0,0,0,0,221.788
15,-10.5,21.5,105,-62,1,216.55,1,179,-200,0,0,0,0,0,0,0,0,0,0,179
15,-10.5,21.5,105,-62,1,179,1,179,-200,0,0,0,0,0,0,0,0,0,0,179
15,-10.5,27.5,130,-75,1,179,1,179,-200,0,0,0,0,0,0,0,0,0,0,179
16,-10.5,30,160,-100,1,179,1,179,-200,0,0,0,0,0,0,0,0,0,0,179
19,40.5,-65,35,-165,1,58.99,1,55,26,0,0,0,0,0,0,0,0,0,0,55
20,0,0,18.33,-18.33,1,55,0,55,26,0,0,0,0,0,0,0,0,0,0,55
22,142.5,2,184,-180,1,0.36,1,285,0,0,0,0,0,0,0,0,0,0,0,285
29,9,0.5,178,-177,1,18,1,18,0,0,0,0,0,0,0,0,0,0,0,18
30,11,-0.5,179,-180,1,22,1,22,0,0,0,0,0,0,0,0,0,0,0,22
37,148,9,186,-168,1,0.24,1,296,0,0,0,0,0,0,0,0,0,0,0,296
44,135,4.5,178,-169,1,2,1,269,1,0,0,0,0,0,0,0,0,0,0,269
45,7.5,11,188,-166,1,15,1,15,0,0,0,0,0,0,0,0,0,0,0,15
49,142.5,5.5,191,-180,1,1,1,285,0,0,0,0,0,0,0,0,0,0,0,285
54,129,10,189,-169,1,0.12,1,258,0,0,0,0,0,0,0,0,0,0,0,258
54,0,0,33.33,-33.33,1,100,0,34.44,19.44,0,0,0,0,0,0,0,0,0,0,34.44
58,148.5,9,198,-180,1,9,1,297,0,0,0,0,0,0,0,0,0,0,0,297
